,,,,,,,,,
Operating Airline,Operating Airline IATA Code,Published Airline,GEO Region,Activity Type Code,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
US Airways,US,US Airways,US,Enplaned,61729,Enplaned,61729,2015,January
United Airlines,UA,United Airlines,US,Deplaned,28156,Deplaned,28156,2015,January
United Airlines,UA,United Airlines,US,Enplaned,22333,Enplaned,22333,2015,January
United Airlines,UA,United Airlines,US,Thru / Transit,1,Thru / Transit * 2,2,2015,January
United Airlines,UA,United Airlines,US,Deplaned,197345,Deplaned,197345,2015,January
United Airlines,UA,United Airlines,US,Enplaned,211641,Enplaned,211641,2015,January
United Airlines,UA,United Airlines,US,Thru / Transit,178,Thru / Transit * 2,356,2015,January
United Airlines,UA,United Airlines,US,Deplaned,303783,Deplaned,303783,2015,January
United Airlines,UA,United Airlines,US,Enplaned,283669,Enplaned,283669,2015,January
United Airlines,UA,United Airlines,US,Thru / Transit,380,Thru / Transit * 2,760,2015,January
United Airlines,UA,United Airlines,Asia,Deplaned,75110,Deplaned,75110,2015,January
United Airlines,UA,United Airlines,Asia,Enplaned,65024,Enplaned,65024,2015,January
United Airlines,UA,United Airlines,Asia,Thru / Transit,263,Thru / Transit * 2,526,2015,January
United Airlines,UA,United Airlines,Australia / Oceania,Deplaned,6940,Deplaned,6940,2015,January
United Airlines,UA,United Airlines,Australia / Oceania,Enplaned,7841,Enplaned,7841,2015,January
United Airlines,UA,United Airlines,Canada,Deplaned,913,Deplaned,913,2015,January
United Airlines,UA,United Airlines,Canada,Enplaned,517,Enplaned,517,2015,January
United Airlines,UA,United Airlines,Canada,Deplaned,4858,Deplaned,4858,2015,January
United Airlines,UA,United Airlines,Canada,Enplaned,1102,Enplaned,1102,2015,January
United Airlines,UA,United Airlines,Canada,Deplaned,4972,Deplaned,4972,2015,January
United Airlines,UA,United Airlines,Canada,Enplaned,8754,Enplaned,8754,2015,January
United Airlines,UA,United Airlines,Europe,Deplaned,19383,Deplaned,19383,2015,January
United Airlines,UA,United Airlines,Europe,Enplaned,17923,Enplaned,17923,2015,January
United Airlines,UA,United Airlines,Mexico,Deplaned,19536,Deplaned,19536,2015,January
United Airlines,UA,United Airlines,Mexico,Enplaned,12352,Enplaned,12352,2015,January
United Airlines,UA,United Airlines,Mexico,Thru / Transit,16,Thru / Transit * 2,32,2015,January
United Airlines,UA,United Airlines,Mexico,Enplaned,325,Enplaned,325,2015,January
United Airlines,UA,United Airlines,Mexico,Enplaned,4820,Enplaned,4820,2015,January
Virgin America,VX,Virgin America,US,Deplaned,146357,Deplaned,146357,2015,January
Virgin America,VX,Virgin America,US,Enplaned,142865,Enplaned,142865,2015,January
Virgin America,VX,Virgin America,Mexico,Deplaned,3483,Deplaned,3483,2015,January
Virgin America,VX,Virgin America,Mexico,Enplaned,2846,Enplaned,2846,2015,January
Virgin Atlantic,VS,Virgin Atlantic,Europe,Deplaned,9344,Deplaned,9344,2015,January
Virgin Atlantic,VS,Virgin Atlantic,Europe,Enplaned,8008,Enplaned,8008,2015,January
Aer Lingus,EI,Aer Lingus,Europe,Deplaned,2590,Deplaned,2590,2015,February
Aer Lingus,EI,Aer Lingus,Europe,Enplaned,2585,Enplaned,2585,2015,February
Aeromexico,AM,Aeromexico,Mexico,Deplaned,9999,Deplaned,9999,2015,February
Aeromexico,AM,Aeromexico,Mexico,Enplaned,9982,Enplaned,9982,2015,February
Air Canada,AC,Air Canada,Canada,Deplaned,11101,Deplaned,11101,2015,February
Air Canada,AC,Air Canada,Canada,Enplaned,10320,Enplaned,10320,2015,February
Air Canada,AC,Air Canada,Canada,Deplaned,12519,Deplaned,12519,2015,February
Air Canada,AC,Air Canada,Canada,Enplaned,11638,Enplaned,11638,2015,February
Air China,CA,Air China,Asia,Deplaned,7023,Deplaned,7023,2015,February
Air China,CA,Air China,Asia,Enplaned,6612,Enplaned,6612,2015,February
Air France,AF,Air France,Europe,Deplaned,6804,Deplaned,6804,2015,February
Air France,AF,Air France,Europe,Enplaned,6426,Enplaned,6426,2015,February
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Deplaned,10502,Deplaned,10502,2015,February
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Enplaned,11436,Enplaned,11436,2015,February
Alaska Airlines,AS,Alaska Airlines,US,Deplaned,48728,Deplaned,48728,2015,February
Alaska Airlines,AS,Alaska Airlines,US,Enplaned,47111,Enplaned,47111,2015,February
Alaska Airlines,AS,Alaska Airlines,Mexico,Deplaned,4648,Deplaned,4648,2015,February
Alaska Airlines,AS,Alaska Airlines,Mexico,Enplaned,4899,Enplaned,4899,2015,February
All Nippon Airways,NH,All Nippon Airways,Asia,Deplaned,6582,Deplaned,6582,2015,February
All Nippon Airways,NH,All Nippon Airways,Asia,Enplaned,5827,Enplaned,5827,2015,February
American Airlines,AA,American Airlines,US,Deplaned,100010,Deplaned,100010,2015,February
American Airlines,AA,American Airlines,US,Enplaned,97746,Enplaned,97746,2015,February
Asiana Airlines,OZ,Asiana Airlines,Asia,Deplaned,6945,Deplaned,6945,2015,February
Asiana Airlines,OZ,Asiana Airlines,Asia,Enplaned,7000,Enplaned,7000,2015,February
British Airways,BA,British Airways,Europe,Deplaned,15388,Deplaned,15388,2015,February
British Airways,BA,British Airways,Europe,Enplaned,14372,Enplaned,14372,2015,February
Cathay Pacific,CX,Cathay Pacific,Asia,Deplaned,15306,Deplaned,15306,2015,February
Cathay Pacific,CX,Cathay Pacific,Asia,Enplaned,14103,Enplaned,14103,2015,February
China Airlines,CI,China Airlines,Asia,Deplaned,8594,Deplaned,8594,2015,February
China Airlines,CI,China Airlines,Asia,Enplaned,10094,Enplaned,10094,2015,February
China Eastern,MU,China Eastern,Asia,Deplaned,5444,Deplaned,5444,2015,February
China Eastern,MU,China Eastern,Asia,Enplaned,4558,Enplaned,4558,2015,February
China Southern,CZ,China Southern,Asia,Deplaned,2311,Deplaned,2311,2015,February
China Southern,CZ,China Southern,Asia,Enplaned,2311,Enplaned,2311,2015,February
Compass Airlines,CP,Delta Air Lines,US,Deplaned,34168,Deplaned,34168,2015,February
Compass Airlines,CP,Delta Air Lines,US,Enplaned,34269,Enplaned,34269,2015,February
Delta Air Lines,DL,Delta Air Lines,US,Deplaned,91506,Deplaned,91506,2015,February
Delta Air Lines,DL,Delta Air Lines,US,Enplaned,87053,Enplaned,87053,2015,February
Delta Air Lines,DL,Delta Air Lines,US,Thru / Transit,41,Thru / Transit * 2,82,2015,February
EVA Airways,BR,EVA Airways,Asia,Deplaned,14499,Deplaned,14499,2015,February
EVA Airways,BR,EVA Airways,Asia,Enplaned,15409,Enplaned,15409,2015,February
Emirates,EK,Emirates,Middle East,Deplaned,11774,Deplaned,11774,2015,February
Emirates,EK,Emirates,Middle East,Enplaned,10649,Enplaned,10649,2015,February
Etihad Airways,EY,Etihad Airways,Middle East,Deplaned,6770,Deplaned,6770,2015,February
Etihad Airways,EY,Etihad Airways,Middle East,Enplaned,4609,Enplaned,4609,2015,February
Frontier Airlines,F9,Frontier Airlines,US,Deplaned,16473,Deplaned,16473,2015,February
Frontier Airlines,F9,Frontier Airlines,US,Enplaned,16475,Enplaned,16475,2015,February
Hawaiian Airlines,HA,Hawaiian Airlines,US,Deplaned,10924,Deplaned,10924,2015,February
Hawaiian Airlines,HA,Hawaiian Airlines,US,Enplaned,11207,Enplaned,11207,2015,February
Japan Airlines,JL,Japan Airlines,Asia,Deplaned,5538,Deplaned,5538,2015,February
Japan Airlines,JL,Japan Airlines,Asia,Enplaned,5397,Enplaned,5397,2015,February
JetBlue Airways,B6,JetBlue Airways,US,Deplaned,47858,Deplaned,47858,2015,February
JetBlue Airways,B6,JetBlue Airways,US,Enplaned,46569,Enplaned,46569,2015,February
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,Europe,Deplaned,5669,Deplaned,5669,2015,February
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,Europe,Enplaned,5012,Enplaned,5012,2015,February
Korean Air Lines,KE,Korean Air Lines,Asia,Deplaned,5721,Deplaned,5721,2015,February
Korean Air Lines,KE,Korean Air Lines,Asia,Enplaned,6018,Enplaned,6018,2015,February
Lufthansa German Airlines,LH,Lufthansa German Airlines,Europe,Deplaned,18451,Deplaned,18451,2015,February
Lufthansa German Airlines,LH,Lufthansa German Airlines,Europe,Enplaned,17218,Enplaned,17218,2015,February
Mesa Airlines,YV,American Airlines,US,Deplaned,5102,Deplaned,5102,2015,February
Mesa Airlines,YV,American Airlines,US,Enplaned,4667,Enplaned,4667,2015,February
Philippine Airlines,PR,Philippine Airlines,Asia,Deplaned,10222,Deplaned,10222,2015,February
Philippine Airlines,PR,Philippine Airlines,Asia,Enplaned,9064,Enplaned,9064,2015,February
Republic Airlines,RW,Republic Airlines,US,Deplaned,51,Deplaned,51,2015,February
SAS Airlines,SK,SAS Airlines,Europe,Deplaned,4668,Deplaned,4668,2015,February
SAS Airlines,SK,SAS Airlines,Europe,Enplaned,3878,Enplaned,3878,2015,February
Singapore Airlines,SQ,Singapore Airlines,Asia,Deplaned,11146,Deplaned,11146,2015,February
Singapore Airlines,SQ,Singapore Airlines,Asia,Enplaned,12314,Enplaned,12314,2015,February
SkyWest Airlines,OO,Delta Air Lines,US,Deplaned,1532,Deplaned,1532,2015,February
SkyWest Airlines,OO,Delta Air Lines,US,Enplaned,1444,Enplaned,1444,2015,February
SkyWest Airlines,OO,Delta Air Lines,US,Thru / Transit,36,Thru / Transit * 2,72,2015,February
SkyWest Airlines,OO,United Airlines,US,Deplaned,127460,Deplaned,127460,2015,February
SkyWest Airlines,OO,United Airlines,US,Enplaned,128247,Enplaned,128247,2015,February
SkyWest Airlines,OO,United Airlines,Canada,Deplaned,1039,Deplaned,1039,2015,February
SkyWest Airlines,OO,United Airlines,Canada,Deplaned,8631,Deplaned,8631,2015,February
SkyWest Airlines,OO,United Airlines,Canada,Enplaned,9613,Enplaned,9613,2015,February
Southwest Airlines,WN,Southwest Airlines,US,Deplaned,114811,Deplaned,114811,2015,February
Southwest Airlines,WN,Southwest Airlines,US,Enplaned,112533,Enplaned,112533,2015,February
Southwest Airlines,WN,Southwest Airlines,US,Thru / Transit,73,Thru / Transit * 2,146,2015,February
Sun Country Airlines,SY,Sun Country Airlines,US,Deplaned,2656,Deplaned,2656,2015,February
Sun Country Airlines,SY,Sun Country Airlines,US,Enplaned,2642,Enplaned,2642,2015,February
Sun Country Airlines,SY,Sun Country Airlines,Mexico,Deplaned,926,Deplaned,926,2015,February
Sun Country Airlines,SY,Sun Country Airlines,Mexico,Enplaned,1251,Enplaned,1251,2015,February
Swiss International,LX,Swiss International,Europe,Deplaned,5402,Deplaned,5402,2015,February
Swiss International,LX,Swiss International,Europe,Enplaned,4740,Enplaned,4740,2015,February
TACA,TA,TACA,Central America,Deplaned,5073,Deplaned,5073,2015,February
TACA,TA,TACA,Central America,Enplaned,4937,Enplaned,4937,2015,February
US Airways,US,US Airways,US,Deplaned,53065,Deplaned,53065,2015,February
US Airways,US,US Airways,US,Enplaned,53450,Enplaned,53450,2015,February
United Airlines,UA,United Airlines,US,Deplaned,21779,Deplaned,21779,2015,February
United Airlines,UA,United Airlines,US,Enplaned,21031,Enplaned,21031,2015,February
United Airlines,UA,United Airlines,US,Thru / Transit,7,Thru / Transit * 2,14,2015,February
United Airlines,UA,United Airlines,US,Deplaned,183384,Deplaned,183384,2015,February
United Airlines,UA,United Airlines,US,Enplaned,197534,Enplaned,197534,2015,February
United Airlines,UA,United Airlines,US,Thru / Transit,97,Thru / Transit * 2,194,2015,February
United Airlines,UA,United Airlines,US,Deplaned,277766,Deplaned,277766,2015,February
United Airlines,UA,United Airlines,US,Enplaned,261011,Enplaned,261011,2015,February
United Airlines,UA,United Airlines,US,Thru / Transit,127,Thru / Transit * 2,254,2015,February
United Airlines,UA,United Airlines,Asia,Deplaned,63712,Deplaned,63712,2015,February
United Airlines,UA,United Airlines,Asia,Enplaned,61924,Enplaned,61924,2015,February
United Airlines,UA,United Airlines,Australia / Oceania,Deplaned,5765,Deplaned,5765,2015,February
United Airlines,UA,United Airlines,Australia / Oceania,Enplaned,6688,Enplaned,6688,2015,February
United Airlines,UA,United Airlines,Canada,Deplaned,695,Deplaned,695,2015,February
United Airlines,UA,United Airlines,Canada,Enplaned,535,Enplaned,535,2015,February
United Airlines,UA,United Airlines,Canada,Deplaned,5311,Deplaned,5311,2015,February
United Airlines,UA,United Airlines,Canada,Enplaned,1155,Enplaned,1155,2015,February
United Airlines,UA,United Airlines,Canada,Deplaned,4632,Deplaned,4632,2015,February
United Airlines,UA,United Airlines,Canada,Enplaned,8697,Enplaned,8697,2015,February
United Airlines,UA,United Airlines,Europe,Deplaned,16721,Deplaned,16721,2015,February
United Airlines,UA,United Airlines,Europe,Enplaned,15059,Enplaned,15059,2015,February
United Airlines,UA,United Airlines,Mexico,Deplaned,16615,Deplaned,16615,2015,February
United Airlines,UA,United Airlines,Mexico,Enplaned,11019,Enplaned,11019,2015,February
United Airlines,UA,United Airlines,Mexico,Thru / Transit,9,Thru / Transit * 2,18,2015,February
United Airlines,UA,United Airlines,Mexico,Enplaned,159,Enplaned,159,2015,February
United Airlines,UA,United Airlines,Mexico,Enplaned,6434,Enplaned,6434,2015,February
Virgin America,VX,Virgin America,US,Deplaned,133618,Deplaned,133618,2015,February
Virgin America,VX,Virgin America,US,Enplaned,134304,Enplaned,134304,2015,February
Virgin America,VX,Virgin America,Mexico,Deplaned,3163,Deplaned,3163,2015,February
Virgin America,VX,Virgin America,Mexico,Enplaned,3341,Enplaned,3341,2015,February
Virgin Atlantic,VS,Virgin Atlantic,Europe,Deplaned,7343,Deplaned,7343,2015,February
Virgin Atlantic,VS,Virgin Atlantic,Europe,Enplaned,7045,Enplaned,7045,2015,February
Aer Lingus,EI,Aer Lingus,Europe,Deplaned,3946,Deplaned,3946,2015,March
Aer Lingus,EI,Aer Lingus,Europe,Enplaned,3746,Enplaned,3746,2015,March
Aeromexico,AM,Aeromexico,Mexico,Deplaned,11097,Deplaned,11097,2015,March
Aeromexico,AM,Aeromexico,Mexico,Enplaned,10516,Enplaned,10516,2015,March
Air Canada,AC,Air Canada,Canada,Deplaned,12397,Deplaned,12397,2015,March
Air Canada,AC,Air Canada,Canada,Enplaned,12883,Enplaned,12883,2015,March
Air Canada,AC,Air Canada,Canada,Deplaned,15152,Deplaned,15152,2015,March
Air Canada,AC,Air Canada,Canada,Enplaned,15745,Enplaned,15745,2015,March
Air China,CA,Air China,Asia,Deplaned,6576,Deplaned,6576,2015,March
Air China,CA,Air China,Asia,Enplaned,7836,Enplaned,7836,2015,March
Air France,AF,Air France,Europe,Deplaned,9008,Deplaned,9008,2015,March
Air France,AF,Air France,Europe,Enplaned,8935,Enplaned,8935,2015,March
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Deplaned,10156,Deplaned,10156,2015,March
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Enplaned,9031,Enplaned,9031,2015,March
Alaska Airlines,AS,Alaska Airlines,US,Deplaned,58892,Deplaned,58892,2015,March
Alaska Airlines,AS,Alaska Airlines,US,Enplaned,56107,Enplaned,56107,2015,March
Alaska Airlines,AS,Alaska Airlines,Mexico,Deplaned,4714,Deplaned,4714,2015,March
Alaska Airlines,AS,Alaska Airlines,Mexico,Enplaned,5115,Enplaned,5115,2015,March
All Nippon Airways,NH,All Nippon Airways,Asia,Deplaned,7259,Deplaned,7259,2015,March
All Nippon Airways,NH,All Nippon Airways,Asia,Enplaned,7465,Enplaned,7465,2015,March
American Airlines,AA,American Airlines,US,Deplaned,119677,Deplaned,119677,2015,March
American Airlines,AA,American Airlines,US,Enplaned,118333,Enplaned,118333,2015,March
Asiana Airlines,OZ,Asiana Airlines,Asia,Deplaned,7555,Deplaned,7555,2015,March
Asiana Airlines,OZ,Asiana Airlines,Asia,Enplaned,7350,Enplaned,7350,2015,March
British Airways,BA,British Airways,Europe,Deplaned,18040,Deplaned,18040,2015,March
British Airways,BA,British Airways,Europe,Enplaned,17304,Enplaned,17304,2015,March
Cathay Pacific,CX,Cathay Pacific,Asia,Deplaned,16857,Deplaned,16857,2015,March
Cathay Pacific,CX,Cathay Pacific,Asia,Enplaned,17098,Enplaned,17098,2015,March
China Airlines,CI,China Airlines,Asia,Deplaned,10894,Deplaned,10894,2015,March
China Airlines,CI,China Airlines,Asia,Enplaned,10697,Enplaned,10697,2015,March
China Eastern,MU,China Eastern,Asia,Deplaned,4864,Deplaned,4864,2015,March
China Eastern,MU,China Eastern,Asia,Enplaned,5082,Enplaned,5082,2015,March
China Southern,CZ,China Southern,Asia,Deplaned,2521,Deplaned,2521,2015,March
China Southern,CZ,China Southern,Asia,Enplaned,2149,Enplaned,2149,2015,March
Compass Airlines,CP,Delta Air Lines,US,Deplaned,39820,Deplaned,39820,2015,March
Compass Airlines,CP,Delta Air Lines,US,Enplaned,39867,Enplaned,39867,2015,March
Delta Air Lines,DL,Delta Air Lines,US,Deplaned,125028,Deplaned,125028,2015,March
Delta Air Lines,DL,Delta Air Lines,US,Enplaned,124027,Enplaned,124027,2015,March
EVA Airways,BR,EVA Airways,Asia,Deplaned,17588,Deplaned,17588,2015,March
EVA Airways,BR,EVA Airways,Asia,Enplaned,16778,Enplaned,16778,2015,March
Emirates,EK,Emirates,Middle East,Deplaned,13556,Deplaned,13556,2015,March
Emirates,EK,Emirates,Middle East,Enplaned,11685,Enplaned,11685,2015,March
Etihad Airways,EY,Etihad Airways,Middle East,Deplaned,7525,Deplaned,7525,2015,March
Etihad Airways,EY,Etihad Airways,Middle East,Enplaned,4585,Enplaned,4585,2015,March
Frontier Airlines,F9,Frontier Airlines,US,Deplaned,18231,Deplaned,18231,2015,March
Frontier Airlines,F9,Frontier Airlines,US,Enplaned,18263,Enplaned,18263,2015,March
Hawaiian Airlines,HA,Hawaiian Airlines,US,Deplaned,12900,Deplaned,12900,2015,March
Hawaiian Airlines,HA,Hawaiian Airlines,US,Enplaned,13964,Enplaned,13964,2015,March
Japan Airlines,JL,Japan Airlines,Asia,Deplaned,5760,Deplaned,5760,2015,March
Japan Airlines,JL,Japan Airlines,Asia,Enplaned,6609,Enplaned,6609,2015,March
JetBlue Airways,B6,JetBlue Airways,US,Deplaned,59583,Deplaned,59583,2015,March
JetBlue Airways,B6,JetBlue Airways,US,Enplaned,59523,Enplaned,59523,2015,March
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,Europe,Deplaned,6745,Deplaned,6745,2015,March
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,Europe,Enplaned,6327,Enplaned,6327,2015,March
Korean Air Lines,KE,Korean Air Lines,Asia,Deplaned,5289,Deplaned,5289,2015,March
Korean Air Lines,KE,Korean Air Lines,Asia,Enplaned,5547,Enplaned,5547,2015,March
Lufthansa German Airlines,LH,Lufthansa German Airlines,Europe,Deplaned,23384,Deplaned,23384,2015,March
Lufthansa German Airlines,LH,Lufthansa German Airlines,Europe,Enplaned,21917,Enplaned,21917,2015,March
Mesa Airlines,YV,American Airlines,US,Deplaned,6234,Deplaned,6234,2015,March
Mesa Airlines,YV,American Airlines,US,Enplaned,5861,Enplaned,5861,2015,March
Philippine Airlines,PR,Philippine Airlines,Asia,Deplaned,10508,Deplaned,10508,2015,March
Philippine Airlines,PR,Philippine Airlines,Asia,Enplaned,8686,Enplaned,8686,2015,March
SAS Airlines,SK,SAS Airlines,Europe,Deplaned,6167,Deplaned,6167,2015,March
SAS Airlines,SK,SAS Airlines,Europe,Enplaned,5867,Enplaned,5867,2015,March
Singapore Airlines,SQ,Singapore Airlines,Asia,Deplaned,12238,Deplaned,12238,2015,March
Singapore Airlines,SQ,Singapore Airlines,Asia,Enplaned,13489,Enplaned,13489,2015,March
SkyWest Airlines,OO,Delta Air Lines,US,Deplaned,5673,Deplaned,5673,2015,March
SkyWest Airlines,OO,Delta Air Lines,US,Enplaned,5836,Enplaned,5836,2015,March
SkyWest Airlines,OO,United Airlines,US,Deplaned,164272,Deplaned,164272,2015,March
SkyWest Airlines,OO,United Airlines,US,Enplaned,160967,Enplaned,160967,2015,March
SkyWest Airlines,OO,United Airlines,Canada,Deplaned,1382,Deplaned,1382,2015,March
SkyWest Airlines,OO,United Airlines,Canada,Deplaned,12006,Deplaned,12006,2015,March
SkyWest Airlines,OO,United Airlines,Canada,Enplaned,13199,Enplaned,13199,2015,March
Southwest Airlines,WN,Southwest Airlines,US,Deplaned,149911,Deplaned,149911,2015,March
Southwest Airlines,WN,Southwest Airlines,US,Enplaned,147533,Enplaned,147533,2015,March
Southwest Airlines,WN,Southwest Airlines,US,Thru / Transit,50,Thru / Transit * 2,100,2015,March
Sun Country Airlines,SY,Sun Country Airlines,US,Deplaned,3210,Deplaned,3210,2015,March
Sun Country Airlines,SY,Sun Country Airlines,US,Enplaned,3230,Enplaned,3230,2015,March
Sun Country Airlines,SY,Sun Country Airlines,Mexico,Deplaned,315,Deplaned,315,2015,March
Swiss International,LX,Swiss International,Europe,Deplaned,6391,Deplaned,6391,2015,March
Swiss International,LX,Swiss International,Europe,Enplaned,5951,Enplaned,5951,2015,March
TACA,TA,TACA,Central America,Deplaned,5539,Deplaned,5539,2015,March
TACA,TA,TACA,Central America,Enplaned,5195,Enplaned,5195,2015,March
US Airways,US,US Airways,US,Deplaned,65797,Deplaned,65797,2015,March
US Airways,US,US Airways,US,Enplaned,68635,Enplaned,68635,2015,March
United Airlines,UA,United Airlines,US,Deplaned,25991,Deplaned,25991,2015,March
United Airlines,UA,United Airlines,US,Enplaned,27485,Enplaned,27485,2015,March
United Airlines,UA,United Airlines,US,Thru / Transit,272,Thru / Transit * 2,544,2015,March
United Airlines,UA,United Airlines,US,Deplaned,242810,Deplaned,242810,2015,March
United Airlines,UA,United Airlines,US,Enplaned,256380,Enplaned,256380,2015,March
United Airlines,UA,United Airlines,US,Thru / Transit,219,Thru / Transit * 2,438,2015,March
United Airlines,UA,United Airlines,US,Deplaned,316133,Deplaned,316133,2015,March
United Airlines,UA,United Airlines,US,Enplaned,307470,Enplaned,307470,2015,March
United Airlines,UA,United Airlines,US,Thru / Transit,668,Thru / Transit * 2,1336,2015,March
United Airlines,UA,United Airlines,Asia,Deplaned,70071,Deplaned,70071,2015,March
United Airlines,UA,United Airlines,Asia,Enplaned,78313,Enplaned,78313,2015,March
United Airlines,UA,United Airlines,Australia / Oceania,Deplaned,7522,Deplaned,7522,2015,March
United Airlines,UA,United Airlines,Australia / Oceania,Enplaned,6220,Enplaned,6220,2015,March
United Airlines,UA,United Airlines,Canada,Deplaned,2121,Deplaned,2121,2015,March
United Airlines,UA,United Airlines,Canada,Enplaned,743,Enplaned,743,2015,March
United Airlines,UA,United Airlines,Canada,Deplaned,3177,Deplaned,3177,2015,March
United Airlines,UA,United Airlines,Canada,Enplaned,362,Enplaned,362,2015,March
United Airlines,UA,United Airlines,Canada,Deplaned,6570,Deplaned,6570,2015,March
United Airlines,UA,United Airlines,Canada,Enplaned,11808,Enplaned,11808,2015,March
United Airlines,UA,United Airlines,Europe,Deplaned,20223,Deplaned,20223,2015,March
United Airlines,UA,United Airlines,Europe,Enplaned,19719,Enplaned,19719,2015,March
United Airlines,UA,United Airlines,Mexico,Deplaned,23268,Deplaned,23268,2015,March
United Airlines,UA,United Airlines,Mexico,Enplaned,17332,Enplaned,17332,2015,March
United Airlines,UA,United Airlines,Mexico,Thru / Transit,2,Thru / Transit * 2,4,2015,March
United Airlines,UA,United Airlines,Mexico,Enplaned,464,Enplaned,464,2015,March
United Airlines,UA,United Airlines,Mexico,Enplaned,5667,Enplaned,5667,2015,March
Virgin America,VX,Virgin America,US,Deplaned,163017,Deplaned,163017,2015,March
Virgin America,VX,Virgin America,US,Enplaned,165828,Enplaned,165828,2015,March
Virgin America,VX,Virgin America,Mexico,Deplaned,3938,Deplaned,3938,2015,March
Virgin America,VX,Virgin America,Mexico,Enplaned,4115,Enplaned,4115,2015,March
Virgin Atlantic,VS,Virgin Atlantic,Europe,Deplaned,10498,Deplaned,10498,2015,March
Virgin Atlantic,VS,Virgin Atlantic,Europe,Enplaned,9475,Enplaned,9475,2015,March
Aer Lingus,EI,Aer Lingus,Europe,Deplaned,4146,Deplaned,4146,2015,April
Aer Lingus,EI,Aer Lingus,Europe,Enplaned,4457,Enplaned,4457,2015,April
Aeromexico,AM,Aeromexico,Mexico,Deplaned,10838,Deplaned,10838,2015,April
Aeromexico,AM,Aeromexico,Mexico,Enplaned,11137,Enplaned,11137,2015,April
Air Canada,AC,Air Canada,Canada,Deplaned,10367,Deplaned,10367,2015,April
Air Canada,AC,Air Canada,Canada,Enplaned,10282,Enplaned,10282,2015,April
Air Canada,AC,Air Canada,Canada,Deplaned,16914,Deplaned,16914,2015,April
Air Canada,AC,Air Canada,Canada,Enplaned,16777,Enplaned,16777,2015,April
Air China,CA,Air China,Asia,Deplaned,7465,Deplaned,7465,2015,April
Air China,CA,Air China,Asia,Enplaned,6218,Enplaned,6218,2015,April
Air France,AF,Air France,Europe,Deplaned,13212,Deplaned,13212,2015,April
Air France,AF,Air France,Europe,Enplaned,13395,Enplaned,13395,2015,April
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Deplaned,9379,Deplaned,9379,2015,April
Air New Zealand,NZ,Air New Zealand,Australia / Oceania,Enplaned,7852,Enplaned,7852,2015,April
Alaska Airlines,AS,Alaska Airlines,US,Deplaned,55673,Deplaned,55673,2015,April
Alaska Airlines,AS,Alaska Airlines,US,Enplaned,57612,Enplaned,57612,2015,April
Alaska Airlines,AS,Alaska Airlines,Mexico,Deplaned,5695,Deplaned,5695,2015,April
Alaska Airlines,AS,Alaska Airlines,Mexico,Enplaned,5053,Enplaned,5053,2015,April
All Nippon Airways,NH,All Nippon Airways,Asia,Deplaned,6777,Deplaned,6777,2015,April
All Nippon Airways,NH,All Nippon Airways,Asia,Enplaned,6173,Enplaned,6173,2015,April
American Airlines,AA,American Airlines,US,Deplaned,119810,Deplaned,119810,2015,April
American Airlines,AA,American Airlines,US,Enplaned,118383,Enplaned,118383,2015,April
Asiana Airlines,OZ,Asiana Airlines,Asia,Deplaned,8327,Deplaned,8327,2015,April
Asiana Airlines,OZ,Asiana Airlines,Asia,Enplaned,6321,Enplaned,6321,2015,April
British Airways,BA,British Airways,Europe,Deplaned,19534,Deplaned,19534,2015,April
British Airways,BA,British Airways,Europe,Enplaned,19594,Enplaned,19594,2015,April
Cathay Pacific,CX,Cathay Pacific,Asia,Deplaned,16925,Deplaned,16925,2015,April
Cathay Pacific,CX,Cathay Pacific,Asia,Enplaned,15947,Enplaned,15947,2015,April
China Airlines,CI,China Airlines,Asia,Deplaned,10572,Deplaned,10572,2015,April
China Airlines,CI,China Airlines,Asia,Enplaned,9409,Enplaned,9409,2015,April
China Eastern,MU,China Eastern,Asia,Deplaned,5373,Deplaned,5373,2015,April
China Eastern,MU,China Eastern,Asia,Enplaned,4408,Enplaned,4408,2015,April
China Southern,CZ,China Southern,Asia,Deplaned,2621,Deplaned,2621,2015,April
China Southern,CZ,China Southern,Asia,Enplaned,1803,Enplaned,1803,2015,April
Compass Airlines,CP,Delta Air Lines,US,Deplaned,37954,Deplaned,37954,2015,April
Compass Airlines,CP,Delta Air Lines,US,Enplaned,37814,Enplaned,37814,2015,April
Compass Airlines,CP,American Airlines,US,Deplaned,2213,Deplaned,2213,2015,April
Compass Airlines,CP,American Airlines,US,Enplaned,1962,Enplaned,1962,2015,April
Delta Air Lines,DL,Delta Air Lines,US,Deplaned,127887,Deplaned,127887,2015,April
Delta Air Lines,DL,Delta Air Lines,US,Enplaned,128368,Enplaned,128368,2015,April
EVA Airways,BR,EVA Airways,Asia,Deplaned,17572,Deplaned,17572,2015,April
