Restaurant name,2024 In-App Revenue,Estimated Share of Revenue (in %),Estimated Total Delivery Revenue,Loyalty,Size
Boca Beach Cantina,177598.8,80,"221,998.50",High,Small
Miguel's Cantina,190710.675,85,"224,365.50",High,Small
Fiesta Ole Tequila House,78579,35,"224,511.43",Low,Small
Cafe Frida - Columbus Ave,11266.74,5,"225,334.80",Low,Small
Mexico Restaurant & Bar,112814.55,50,"225,629.10",Average,Small
Donita's Cantina,191953.8,85,"225,828.00",High,Small
The Grill At Calvary Chapel of Fort Lauderdale,33968.16,15,"226,454.40",Low,Small
Rodrigo's Mexican Grill,181476.72,80,"226,845.90",High,Small
Rojo Mexican Grill - North Loop,102194.865,45,"227,099.70",Average,Small
El Compadre - Echo Park,113972.85,50,"227,945.70",Average,Small
El Alamo,182466,80,"228,082.50",High,Small
Candela's On The Bay,171196.875,75,"228,262.50",High,Small
Wings Ole,148530.915,65,"228,509.10",Average,Small
Tacos Sinaloa #2,138000.24,60,"230,000.40",Average,Small
SolToro Tequila Grill,80727.885,35,"230,651.10",Low,Small
Los Rancheros,23166.54,10,"231,665.40",Low,Small
Cactus Zone,34774.92,15,"231,832.80",Low,Small
Barragan's Mexican Restaurant - Glendale,150850.44,65,"232,077.60",Average,Small
Margarita's Mexican Cantina,34904.385,15,"232,695.90",Low,Small
Mago Grill & Cantina - Bolingbrook,23271.93,10,"232,719.30",Low,Small
Los Molcajetes,128304.495,55,"233,280.90",Average,Small
Lola - Denver,186717.6,80,"233,397.00",High,Small
Slick Rock Burrito,210770.1,90,"234,189.00",High,Small
Tia Cori's Tacos,129116.79,55,"234,757.80",Average,Small
Fuego - Maya Hotel,35264.565,15,"235,097.10",Low,Small
High Tech Burrito,212501.07,90,"236,112.30",High,Small
Taqueria El Paso,94493.88,40,"236,234.70",Average,Small
Caracara Mexican Grill,35460.18,15,"236,401.20",Low,Small
Rockin Baja Lobster Oceanside,47297.34,20,"236,486.70",Low,Small
Sonterra Grill,94779.36,40,"236,948.40",Average,Small
Rocco's Tacos - Brooklyn,71398.26,30,"237,994.20",Low,Small
Lina's Mexican Restaurant,83487.915,35,"238,536.90",Low,Small
Tulum Fresh Mexican Grill,47857.68,20,"239,288.40",Low,Small
Puerto Vallarta,120166.2,50,"240,332.40",Average,Small
Burrito Mariachi,169759.8,70,"242,514.00",High,Small
The Painted Burro,48931.56,20,"244,657.80",Low,Small
Chevy's Fresh Mex,110138.13,45,"244,751.40",Average,Small
Gonza Tacos Y Tequila - Wake Forest,110470.635,45,"245,490.30",Average,Small
World Wrapps,37128.51,15,"247,523.40",Low,Small
Nopalito,99586.44,40,"248,966.10",Average,Small
Cisco's Salsa Company,12449.97,5,"248,999.40",Low,Small
El Conquistador Restaurant,87238.305,35,"249,252.30",Low,Small
Tijuana's Tacos,174921.39,70,"249,887.70",High,Small
Modern Mixture,212600.385,85,"250,118.10",High,Small
Oaxaca Taqueria,189171.45,75,"252,228.60",High,Small
El Torogoz Restaurant,189636.525,75,"252,848.70",High,Small
Tacos Gaby,165291.165,65,"254,294.10",Average,Small
Taco Treat,12756.375,5,"255,127.50",Low,Small
High Noon,127612.35,50,"255,224.70",Average,Small
Los Hermanos,76710.78,30,"255,702.60",Low,Small
Senor Pepe,166332.465,65,"255,896.10",Average,Small
Cadillac Bar & Grill,140951.25,55,"256,275.00",Average,Small
Palmilla Cocina Y Tequila,141802.65,55,"257,823.00",Average,Small
Long John Silver's,51640.56,20,"258,202.80",Low,Small
El Burrito Mercado,181277.46,70,"258,967.80",High,Small
Taqueria El Poblano,130562.1,50,"261,124.20",Average,Small
Taco Loco,143762.85,55,"261,387.00",Average,Small
Zona Rosa,13069.44,5,"261,388.80",Low,Small
Kip's Grill and Cantina,196149.6,75,"261,532.80",High,Small
Baja Tex Mex,170070.03,65,"261,646.20",Average,Small
Los Arroyos Mexican Restaurant,91763.28,35,"262,180.80",Low,Small
Fidel's Little Mexico,91998.72,35,"262,853.49",Low,Small
Taco Mamacita,79934.31,30,"266,447.70",Low,Small
Arandas Tacos,241264.98,90,"268,072.20",High,Small
Los Chingones,80541.54,30,"268,471.80",Low,Small
Cafe Azteca,147816.9,55,"268,758.00",Average,Small
Blue Plate Taco,228512.385,85,"268,838.10",High,Small
Zocalo Sacramento,107837.28,40,"269,593.20",Average,Small
Guadalajara Grill,94357.935,35,"269,594.10",Low,Small
Agave Grill,149052.42,55,"271,004.40",Average,Small
Taco Tontos,162919.08,60,"271,531.80",Average,Small
Luna Blanca Taqueria,122732.01,45,"272,737.80",Average,Small
Madrina,233008.29,85,"274,127.40",High,Small
Sabor Cocina Mexicana - Valencia,137253.6,50,"274,507.20",Average,Small
Chubbys,27454.41,10,"274,544.10",Low,Small
Sonic Drive-in,137352.15,50,"274,704.30",Average,Small
360 Gourmet Burritos,82423.17,30,"274,743.90",Low,Small
Gonza Tacos Y Tequila - Downtown Raleigh,206400.825,75,"275,201.10",High,Small
Canyon Road,27546.12,10,"275,461.20",Low,Small
Jalapenos Mexican Restaurant,124682.49,45,"277,072.20",Average,Small
Los Primos Cantina,124823.835,45,"277,386.30",Average,Small
Salsa Picante,139088.7,50,"278,177.40",Average,Small
La Hacienda Ranch Frisco,13966.2,5,"279,324.00",Low,Small
El Guero Canelo,41958.54,15,"279,723.60",Low,Small
Marquez - Norwalk,181944.945,65,"279,915.30",Average,Small
Oaxaca,224435.52,80,"280,544.40",High,Small
Don Lobos Mexican Grill,226139.04,80,"282,673.80",High,Small
M I Tierra Mexican Restaurant,85290.57,30,"284,301.90",Low,Small
Dos Perros,100122.12,35,"286,063.20",Low,Small
Don Taco,128956.05,45,"286,569.00",Average,Small
Sol Cocina- Playa Vista,259396.83,90,"288,218.70",High,Small
Grins Restaurant,100906.155,35,"288,303.30",Low,Small
El Perico Ranchero,231039.36,80,"288,799.20",High,Small
Johnny Sanchez,263176.29,90,"292,418.10",High,Small
Nalley Fresh,220091.175,75,"293,454.90",High,Small
Taco Surf,176997.42,60,"294,995.70",Average,Small
Las Casuelas Nuevas,103320.63,35,"295,201.80",Low,Small
Tortas Los Picudos,266445.45,90,"296,050.50",High,Small
Acapulco Restaurant,88949.34,30,"296,497.80",Low,Small
Vallarta Mexican Restaurant,193128.975,65,"297,121.50",Average,Small
Tacos Nuevo Mexico,74890.125,25,"299,560.50",Low,Small
Castle Hills Cafe (reported Closed),225604.575,75,"300,806.10",High,Small
El Toro Taqueria,240746.4,80,"300,933.00",High,Small
Monty Mex Corp,165725.505,55,"301,319.10",Average,Small
Quicks Hole Taqueria,151961.85,50,"303,923.70",Average,Small
Cantina Laredo - Clayton,169350.39,55,"307,909.80",Average,Small
Alejandra's Mexican Restaurant,231240.825,75,"308,321.10",High,Small
Taco Bar,170134.47,55,"309,335.40",Average,Small
Aca Las Tortas,232161.525,75,"309,548.70",High,Small
Taco Fiesta,170420.085,55,"309,854.70",Average,Small
Tequilas Mexican Restaurant,170745.3,55,"310,446.00",Average,Small
Danny's Restaurant,15555.6,5,"311,112.00",Low,Small
Villa Tepeyac,234823.725,75,"313,098.30",High,Small
Bar Takito-west Loop,62651.88,20,"313,259.40",Low,Small
Mamacita's,235080.9,75,"313,441.20",High,Small
The Sonora Grill,172557.495,55,"313,740.90",Average,Small
Cantina Feliz,78776.55,25,"315,106.20",Low,Small
Anna's Taqueria,63233.82,20,"316,169.10",Low,Small
Olé Mexican Grill,79591.5,25,"318,366.00",Low,Small
Fins Tropicali Cuisine,79604.1,25,"318,416.40",Low,Small
Krazi Kebob,239833.575,75,"319,778.10",High,Small
The Old Pueblo Cafe,96470.46,30,"321,568.20",Low,Small
Barberito's,225485.19,70,"322,121.70",High,Small
Cantina 1511 - Park Road Shopping Center,96815.25,30,"322,717.50",Low,Small
El Dorado Cantina,194177.52,60,"323,629.20",Average,Small
Taco Del Mar,48659.535,15,"324,396.90",Low,Small
Barcocina - Baltimore,113612.94,35,"324,608.40",Low,Small
On Guard Locksmith,146117.925,45,"324,706.50",Average,Small
The Clubhouse Grill,113721.3,35,"324,918.00",Low,Small
Jose Sons,276483.24,85,"325,274.40",High,Small
Milagro Cantina,146866.77,45,"326,370.60",Average,Small
La Sandia,147136.905,45,"326,970.90",Average,Small
Oscar's Taco Shop,294445.53,90,"327,161.70",High,Small
Toloache,278983.26,85,"328,215.60",High,Small
El Patio Café,213381.09,65,"328,278.60",Average,Small
Anejo,279441.495,85,"328,754.70",High,Small
Daniels Mexican Restaurant,33045.21,10,"330,452.10",Low,Small
Lourdes Mexican Food,216385.065,65,"332,900.10",Average,Small
Sharky's Woodfired Mexican Grill,300407.13,90,"333,785.70",High,Small
Mexcal,234100.44,70,"334,429.20",High,Small
100% De Agave,218058.75,65,"335,475.00",Average,Small
East Coast Taco,251680.5,75,"335,574.00",High,Small
Moe's Cantina River North,84129.525,25,"336,518.10",Low,Small
Los Nopales,168361.2,50,"336,722.40",Average,Small
Omega Burgers,67627.98,20,"338,139.90",Low,Small
Tito's Tacos,152370.315,45,"338,600.70",Average,Small
La Corneta Taqueria,203945.58,60,"339,909.30",Average,Small
Caffe Di Fiore,170400.15,50,"340,800.30",Average,Small
Meeho's,238614.39,70,"340,877.70",High,Small
Tacuba Cantina Mexicana,222247.935,65,"341,919.90",Average,Small
Charritos Restaurant,188165.835,55,"342,119.70",Average,Small
Taqueria Feliz - Horsham,205272.9,60,"342,121.50",Average,Small
Taco Casa,274847.76,80,"343,559.70",High,Small
Mi Casa Mexican Grill,120257.235,35,"343,592.10",Low,Small
Mario's Tacos,68737.68,20,"343,688.40",Low,Small
America's Taco Shop,189234.045,55,"344,061.90",Average,Small
Ixtapa Cantina,240996.42,70,"344,280.60",High,Small
El Poquito,172368.45,50,"344,736.90",Average,Small
Carlitos Cafe y Cantina,172627.2,50,"345,254.40",Average,Small
Olivia's Mexican Restaurant,242202.24,70,"346,003.20",High,Small
Fresh Taco,225129.06,65,"346,352.40",Average,Small
Costa Vida,295778.07,85,"347,974.20",High,Small
Mexico City Taqueria,279331.2,80,"349,164.00",High,Small
Fiesta Mexicana,244905.57,70,"349,865.10",High,Small
Mexican Gardens,70020.72,20,"350,103.60",Low,Small
Pablo's Mexican Restaurant,176325.3,50,"352,650.60",Average,Small
Cyclone Anaya's - The Woodlands,211641.66,60,"352,736.10",Average,Small
Little Water Cantina,159326.19,45,"354,058.20",Average,Small
Mas Cocina Mexicana,266018.85,75,"354,691.80",High,Small
Cuckoo's Nest,178011.9,50,"356,023.80",Average,Small
Tequila Sunrise,213988.5,60,"356,647.50",Average,Small
Taco Express,53555.715,15,"357,038.10",Low,Small
Happy Fresh Tortillas Grill,232240.905,65,"357,293.70",Average,Small
El Rodeo,71609.76,20,"358,048.80",Low,Small
Taqueria Los Paisanos,215097.12,60,"358,495.20",Average,Small
Chonito's,197275.32,55,"358,682.40",Average,Small
Chili's Grill Bar,89671.95,25,"358,687.80",Low,Small
Casa Escobar,322975.35,90,"358,861.50",High,Small
Gracias Madre,269767.125,75,"359,689.50",High,Small
Taco Factory,162731.43,45,"361,625.40",Average,Small
Taco Diner,309593.205,85,"364,227.30",High,Small
Los Chingones Dtc,182199.6,50,"364,399.20",Average,Small
Revolucion Steakhouse,182327.85,50,"364,655.70",Average,Small
Casa De Lara,273683.475,75,"364,911.30",High,Small
Dos Caminos - Fort Lauderdale,109776.87,30,"365,922.90",Low,Small
Muchas Gracias,129073.14,35,"368,780.40",Low,Small
Pedro's Cantina,184508.55,50,"369,017.10",Average,Small
Mekenita Mexican Grill,314119.71,85,"369,552.60",High,Small
Dos Caminos,184839.3,50,"369,678.60",Average,Small
Cantina Laredo - Austin,129729.6,35,"370,656.00",Low,Small
Casa Moreno Mexican Grill - Covina,241155.135,65,"371,007.90",Average,Small
Taqueria Los Jalicienses,167647.32,45,"372,549.60",Average,Small
Dorado Tacos & Cemitas,167761.53,45,"372,803.40",Average,Small
Sabor Cocina Mexicana - Thousand Oaks,149153.76,40,"372,884.40",Average,Small
El Huarache Azteca,37423.62,10,"374,236.20",Low,Small
Isabel Pearl,336893.58,90,"374,326.20",High,Small
Que Pasa Cantina,299809.44,80,"374,761.80",High,Small
Fajita Grill,281166.525,75,"374,888.70",High,Small
Monica's Mexican Restaurant,225233.46,60,"375,389.10",Average,Small
El Taco Factory,320152.5,85,"376,650.00",High,Small
Cafe Rio Mexican Grill,207829.71,55,"377,872.20",Average,Small
Mojave,265092.03,70,"378,702.90",High,Small
Frontera Mex-Mex Grill,170447.085,45,"378,771.30",Average,Small
Alamo Mexican Kitchen,265202.28,70,"378,860.40",High,Small
Que Pasa,170677.935,45,"379,284.30",Average,Small
Dos Caminos - Soho,266094.99,70,"380,135.70",High,Small
Taqueria Guadalajara,209287.98,55,"380,523.60",Average,Small
Los Cuates,190534.5,50,"381,069.00",Average,Small
Chubby's Tacos,325113.525,85,"382,486.50",High,Small
La Lupita,19147.77,5,"382,955.40",Low,Small
Miguel's Cocina,325663.56,85,"383,133.60",High,Small
El Gran Sabor,19162.35,5,"383,247.00",Low,Small
CANS Taqueria,287579.025,75,"383,438.70",High,Small
Cactus Restaurant,345109.41,90,"383,454.90",High,Small
Santana Mexican Food,134302.455,35,"383,721.30",Low,Small
Casa Grande,57610.845,15,"384,072.30",Low,Small
Barrio 47,346067.64,90,"384,519.60",High,Small
Gonzalez Restaurant,58240.08,15,"388,267.20",Low,Small
Anita's New Mexican Style Mexican Food,291647.925,75,"388,863.90",High,Small
Taqueria La Fiesta,136200.33,35,"389,143.80",Low,Small
Poquitos,331114.95,85,"389,547.00",High,Small
Cenote Grill,39096.09,10,"390,960.90",Low,Small
Rancho Viejo Restaurant,332441.46,85,"391,107.60",High,Small
Por Favor Mexican Restaurant,195963.3,50,"391,926.60",Average,Small
El Tequila Mexican Restaurant,255943.935,65,"393,759.90",Average,Small
Carlos Miguel's,276888.78,70,"395,555.40",High,Small
Taqueria Y Antojitos El Guanaco,258509.745,65,"397,707.30",Average,Small
Acapulco Fresh,259081.875,65,"398,587.50",Average,Small
La Cocina Bar & Grill,119607.57,30,"398,691.90",Low,Small
Habanero's Mexican Kitchen,360471.87,90,"400,524.30",High,Small
Manny's El Taco De Mexico,261117.09,65,"401,718.60",Average,Small
Davina's Cabo Grill,301380.075,75,"401,840.10",High,Small
Las Panchitas,221019.975,55,"401,854.50",Average,Small
Talita's Mexican Kitchen,363668.13,90,"404,075.70",High,Small
El Taco Tote,182689.425,45,"405,976.50",Average,Small
Mesa Fresh Mexican Grill,162641.52,40,"406,603.80",Average,Small
Figaro's Mexican Grill,244434.78,60,"407,391.30",Average,Small
Los Tacos,286141.59,70,"408,773.70",High,Small
Habanero's Fresh Mex,367962.75,90,"408,847.50",High,Small
Chiloso Mexican Bistro,226350.63,55,"411,546.60",Average,Small
Rocco's Tacos & Tequila Bar - Fort Lauderdale,186127.875,45,"413,617.50",Average,Small
Cyclone Anaya's-rice Village,372755.52,90,"414,172.80",High,Small
Mexico City,82957.14,20,"414,785.70",Low,Small
Tortilla Sunrise,125010.81,30,"416,702.70",Low,Small
La Victoria Taqueria,313333.65,75,"417,778.20",High,Small
Los Mariachis,229861.17,55,"417,929.40",Average,Small
Burritos Alinstante,146537.37,35,"418,678.20",Low,Small
Bajo Sexto Taco,146759.445,35,"419,312.70",Low,Small
Chayo Mexican Kitchen + Tequila Bar,188757.54,45,"419,461.20",Average,Small
Sal's Mexican Restaurant,315839.25,75,"421,119.00",High,Small
Morelia Mexican Grill,21125.97,5,"422,519.40",Low,Small
Connie's Cantina,42264.54,10,"422,645.40",Low,Small
Pink Taco,63474.3,15,"423,162.00",Low,Small
Osuna's Mexican Grill,317924.325,75,"423,899.10",High,Small
Taqueria Feliz - Manayunk,42430.5,10,"424,305.00",Low,Small
Taco Jane's,254631.06,60,"424,385.10",Average,Small
Cantina Mexicana,106484.175,25,"425,936.70",Low,Small
Galaxy Taco - La Jolla,298213.02,70,"426,018.60",High,Small
Tenafly Classic Diner,362383.56,85,"426,333.60",High,Small
Tortilla Jo's,362874.69,85,"426,911.40",High,Small
Gaud�� Caf��,256228.38,60,"427,047.30",Average,Small
Tijuana's Mexican Kitchen Express,299281.5,70,"427,545.00",High,Small
Senor Peppers,192404.97,45,"427,566.60",Average,Small
Taco Loco #2,192444.255,45,"427,653.90",Average,Small
SOL Cocina,342489.6,80,"428,112.00",High,Small
El Arepazo Latin Grill,150273.27,35,"429,352.20",Low,Small
Acapulco,257730.66,60,"429,551.10",Average,Small
Rinconcito Salvadoreno Restaurante,171993.96,40,"429,984.90",Average,Small
Sabrosa,215197.65,50,"430,395.30",Average,Small
Mamacitas Mexican Restaurant,387516.15,90,"430,573.50",High,Small
Starliner Diner,215604,50,"431,208.00",Average,Small
Cancún Family Mexican Restaurant,21647.16,5,"432,943.20",Low,Small
Restaurante Familiar,108409.5,25,"433,638.00",Low,Small
Hatch Taqueria & Tequilas,152113.815,35,"434,610.90",Low,Small
Lolita's Taco Shop,195945.075,45,"435,433.50",Average,Small
La Hacienda Real,152402.67,35,"435,436.20",Low,Small
Jalisco Tacos,240323.49,55,"436,951.80",Average,Small
La Pinata Tortilleria,284268.465,65,"437,336.10",Average,Small
Joselito's Mexican Food,153478.395,35,"438,509.70",Low,Small
Cyclone Anaya's - Woodway,373586.985,85,"439,514.10",High,Small
El Loco Burrito,376420.545,85,"442,847.70",High,Small
El Tarasco Mexican Restaurant No. 2,111059.775,25,"444,239.10",Low,Small
Casa Manana,267196.32,60,"445,327.20",Average,Small
Sangrita - Maui,156765.105,35,"447,900.30",Low,Small
Cantina 1511 - Stonecrest,246412.485,55,"448,022.70",Average,Small
Alma Cocina,291661.11,65,"448,709.40",Average,Small
Acapulco Mexican Restaurant,359985.6,80,"449,982.00",High,Small
Boca Grande Taqueria,247524.75,55,"450,045.00",Average,Small
El Agave,158111.415,35,"451,746.90",Low,Small
El Palacio,158170.005,35,"451,914.30",Low,Small
Rocco's Tacos & Tequila Bar - Pga,384423.975,85,"452,263.50",High,Small
Reyna's Mexican Restaurant,384932.7,85,"452,862.00",High,Small
Modern Margarita,135987.93,30,"453,293.10",Low,Small
The Loop,159336.36,35,"455,246.74",Low,Small
Riverwalk Cantina at the Gaylord Texan,342695.475,75,"456,927.30",High,Small
Taqueria Cancun,160158.285,35,"457,595.10",Low,Small
Zapoteca,114646.95,25,"458,587.80",Low,Small
Burrito Bueno,298170.99,65,"458,724.60",Average,Small
Quesa-D-Ya's,206655.705,45,"459,234.90",Average,Small
Taqueria Jalisco,22986.63,5,"459,732.60",Low,Small
La Sirenita,414124.65,90,"460,138.50",High,Small
Casa Manana Taqueria,322893.9,70,"461,277.00",High,Small
Mangos Tortilla Grill,161753.13,35,"462,151.80",Low,Small
Wild Salsa - Fairview,231224.4,50,"462,448.80",Average,Small
Barrio - Capitol Hill,347369.175,75,"463,158.90",High,Small
El Adobe,416856.78,90,"463,174.20",High,Small
El Pollo Ranchero,325495.17,70,"464,993.10",High,Small
Mexico Lindo,69791.625,15,"465,277.50",Low,Small
Burritos Santana,395687.835,85,"465,515.10",High,Small
Border Grill Santa Monica,418999.23,90,"465,554.70",High,Small
Paloma Blanca Mexican Cuisine,233078.85,50,"466,157.70",Average,Small
Camp Taco,256450.59,55,"466,273.80",Average,Small
El Sombrero Mexican Bistro,257125.275,55,"467,500.50",Average,Small
Red Pepper Taqueria,327402.18,70,"467,717.40",High,Small
Danny's,93877.02,20,"469,385.10",Low,Small
El Cholo,422714.7,90,"469,683.00",High,Small
El Amigo Burrito,376351.2,80,"470,439.00",High,Small
Maya,70638.21,15,"470,921.40",Low,Small
La Sandia - Lone Tree,400381.11,85,"471,036.60",High,Small
Lucky Tortillas,212452.875,45,"472,117.50",Average,Small
Maria's Mexican Restaurant,213156.765,45,"473,681.70",Average,Small
El Tapatio,142212.24,30,"474,040.80",Low,Small
Max's Mexican Cuisine,332360.28,70,"474,800.40",High,Small
Santiago's,380038.32,80,"475,047.90",High,Small
Taqueria San Jose - Mason St,285395.4,60,"475,659.00",Average,Small
San Gabriel Mexican Cafe,166780.08,35,"476,514.51",Low,Small
Muchas Gracias Mexican Food,143027.1,30,"476,757.00",Low,Small
Tacko,286780.5,60,"477,967.50",Average,Small
El Metate,239173.2,50,"478,346.40",Average,Small
Casa de Ramos,407307.42,85,"479,185.20",High,Small
Mesilla Valley Kitchen,263569.185,55,"479,216.70",Average,Small
Ricoco's Latin Grill,143836.29,30,"479,454.30",Low,Small
The Little Chihuahua,384233.04,80,"480,291.30",High,Small
El Manantial,312837.525,65,"481,288.50",Average,Small
Jose's Mexican Cantina,96573.06,20,"482,865.30",Low,Small
Chapa Tacos,362517.525,75,"483,356.70",High,Small
Salsa Mexicana,362868.525,75,"483,824.70",High,Small
Salsa y Salsa,72801.585,15,"485,343.90",Low,Small
Rocco's Tacos & Tequila Bar - Boca Raton,292982.94,60,"488,304.90",Average,Small
Dos Caminos Atlantic City,146894.04,30,"489,646.80",Low,Small
Nana's Family Mexican Kitchen & Cantina,393386.4,80,"491,733.00",High,Small
Bonita's Mexican Food,393402.96,80,"491,753.70",High,Small
D'tako Market,443545.47,90,"492,828.30",High,Small
Cilantro Southwest Grill,271796.085,55,"494,174.70",Average,Small
Besame Mexican Grill,345934.26,70,"494,191.80",High,Small
SumoMaya,296807.22,60,"494,678.70",Average,Medium
Salsitas Mexican Grill,148724.64,30,"495,748.80",Low,Medium
Margaritas Mexican Restaurant,99342,20,"496,710.00",Low,Medium
Los Chiludos,397722.24,80,"497,152.80",High,Medium
El Mezquite Grill,397795.68,80,"497,244.60",High,Medium
El Zacatecano Restaurant,174060,35,"497,314.29",Low,Medium
Taqueria Traspazada,273639.96,55,"497,527.20",Average,Medium
Chevys Fresh Mex,273863.205,55,"497,933.10",Average,Medium
Lone Star Taco Co.,423591.975,85,"498,343.50",High,Medium
Tamale Kitchen,149548.41,30,"498,494.70",Low,Medium
Tomasita's,398854.08,80,"498,567.60",High,Medium
Jalapenos,324357.93,65,"499,012.20",Average,Medium
Coyote Crossing - Conshohocken,224642.565,45,"499,205.70",Average,Medium
Los Huaraches,449579.97,90,"499,533.30",High,Medium
Pancho Villa,125397.225,25,"501,588.90",Low,Medium
Taqueria La Plaza,150752.34,30,"502,507.80",Low,Medium
Taco Beach Shack,326900.34,65,"502,923.60",Average,Medium
El Palomar - Santa Cruz,226618.155,45,"503,595.90",Average,Medium
Hugo's Tacos,327532.725,65,"503,896.50",Average,Medium
Estrada's Mexican Food,226958.355,45,"504,351.90",Average,Medium
Don Pisto's,75830.445,15,"505,536.30",Low,Medium
Senor Sancho's,304307.82,60,"507,179.70",Average,Medium
Besa Grill,25359.615,5,"507,192.30",Low,Medium
El Jardin Mexican Restaurant,432382.59,85,"508,685.40",High,Medium
Crawdad's River Cantina,102018.96,20,"510,094.80",Low,Medium
Jalisco Cafe,459215.73,90,"510,239.70",High,Medium
Los Gringos Locos,357656.04,70,"510,937.20",High,Medium
Cancun Mexican Restaurant,409637.52,80,"512,046.90",High,Medium
Agave Del Mar,282450.465,55,"513,546.30",Average,Medium
Carolina's Restaurant,411920.64,80,"514,900.80",High,Medium
Taco Delite,411973.92,80,"514,967.40",High,Medium
Mama Juanita's Mexican Restaurant,231896.925,45,"515,326.50",Average,Medium
Red Dog Cantina,154910.34,30,"516,367.80",Low,Medium
Los Cabos Mexican Grill,413784.72,80,"517,230.90",High,Medium
La Parrilla Mexicana,466064.28,90,"517,849.20",High,Medium
Crystal Park Cantina,310724.64,60,"517,874.40",Average,Medium
Super Taqueria,311003.28,60,"518,338.80",Average,Medium
Maria Bonita,467875.44,90,"519,861.60",High,Medium
El Pollo Taquero,390120.3,75,"520,160.40",High,Medium
El Taco Llama,442782,85,"520,920.00",High,Medium
Sergio's Mexican Restaurant,442784.295,85,"520,922.70",High,Medium
Bel'gustos,339252.03,65,"521,926.20",Average,Medium
Mariscos Ensenada,156593.25,30,"521,977.50",Low,Medium
Mas Mexicali Cantina - West Chester,417891.6,80,"522,364.50",High,Medium
Mexican Food Factory,288224.64,55,"524,044.80",Average,Medium
Pink Taco - Sunset,288437.49,55,"524,431.80",Average,Medium
El Mariachi,52494.84,10,"524,948.40",Low,Medium
Monte Real,183738.24,35,"524,966.40",Low,Medium
Viva Toro,394978.275,75,"526,637.70",High,Medium
Matheos Santafe Cafe,474843.87,90,"527,604.30",High,Medium
Cyclone Anaya's - Mosaic,475388.19,90,"528,209.10",High,Medium
Takorea,264406.95,50,"528,813.90",Average,Medium
NanaTaco,159383.16,30,"531,277.20",Low,Medium
Oh! Mexico,132836.85,25,"531,347.40",Low,Medium
Las Haciendas Mexican Bar & Grill,186094.125,35,"531,697.50",Low,Medium
Pure Taqueria,478919.79,90,"532,133.10",High,Medium
El Arriero Mexican Restaurant,26622.45,5,"532,449.00",Low,Medium
Burrito Boarder,26686.8,5,"533,736.00",Low,Medium
Los Rubios Mexican Food,186921.72,35,"534,062.06",Low,Medium
Angela's Burrito Style,187132.995,35,"534,665.70",Low,Medium
Casa Lupe,401029.65,75,"534,706.20",High,Medium
Papa's Tacos,187724.565,35,"536,355.90",Low,Medium
Cabo Wabo Cantina Las Vegas,403346.25,75,"537,795.00",High,Medium
Paradiso 37,403737.75,75,"538,317.00",High,Medium
Sandia Chile Grill,161820.99,30,"539,403.30",Low,Medium
Solita Tacos and Margaritas,270267.75,50,"540,535.50",Average,Medium
El Charro Cafe,489254.58,90,"543,616.20",High,Medium
Casa Perico,407915.325,75,"543,887.10",High,Medium
Miti Miti Global Cuisine,271990.8,50,"543,981.60",Average,Medium
Border Grill Downtown La,190859.76,35,"545,313.60",Low,Medium
Roberto's Taco Shop,382544.19,70,"546,491.70",High,Medium
Taqueria El Buen Gusto,437397.84,80,"546,747.30",High,Medium
El Palenque,301095.135,55,"547,445.70",Average,Medium
Los Vaqueros - Stockyards,219714.12,40,"549,285.30",Average,Medium
Manny's Cocina,329733.18,60,"549,555.30",Average,Medium
Vamos,412295.4,75,"549,727.20",High,Medium
Mexicue,274980.15,50,"549,960.30",Average,Medium
Josefina's Mexican Grill,412667.325,75,"550,223.10",High,Medium
Tr Cantina & Margarita Bar (downstairs),440595.36,80,"550,744.20",High,Medium
Wild Rita's Modern Mexican & Tequila Bar,275402.25,50,"550,804.50",Average,Medium
La Fogata Mexican Restaurant,495877.14,90,"550,974.60",High,Medium
El Compadre - Hollywood,55109.61,10,"551,096.10",Low,Medium
El Castillito,303612.21,55,"552,022.20",Average,Medium
La Tolteca,166029.48,30,"553,431.60",Low,Medium
Burrito Express,55360.89,10,"553,608.90",Low,Medium
Malo,27688.095,5,"553,761.90",Low,Medium
Belga Cafe,83066.715,15,"553,778.10",Low,Medium
Tlaloc,278996.85,50,"557,993.70",Average,Medium
La Casa de Samuel,27908.91,5,"558,178.20",Low,Medium
Taco Del Rey,111874.5,20,"559,372.50",Low,Medium
Gracias Madre - Sf,56030.04,10,"560,300.40",Low,Medium
Anejo Cantina & Grill,308179.575,55,"560,326.50",Average,Medium
Taco Ocho,224193.96,40,"560,484.90",Average,Medium
Tito Santana Taqueria,56075.94,10,"560,759.40",Low,Medium
89agave Cantina,336456.18,60,"560,760.30",Average,Medium
Piquant,140481.9,25,"561,927.60",Low,Medium
Mexicali Grill,309428.46,55,"562,597.20",Average,Medium
La Fiesta Grande,422448.75,75,"563,265.00",High,Medium
La Palapa 3,450725.04,80,"563,406.30",High,Medium
Margaritas,56351.07,10,"563,510.70",Low,Medium
Riviera Mexican Grill,225866.52,40,"564,666.30",Average,Medium
Mesero-knox Henderson,480174.435,85,"564,911.10",High,Medium
Villa Y Zapata,141332.85,25,"565,331.40",Low,Medium
No Mas! Cantina,424881.45,75,"566,508.60",High,Medium
El Paso,425006.325,75,"566,675.10",High,Medium
