Company name,Technology,2024 Revenue,2024 COGS
IonCraft669,Acoustics,15044801,17145987
StellarCore670,Mechanics,1524177,3732308
ExoLink671,Acoustics,12635397,2735152
AeroWorks672,Acoustics,18548171,19043983
AstroSystems673,Propulsion,15592310,7920631
CelestDynamics674,Mechanics,3222327,10767388
SkyLabs675,Acoustics,18733726,2591614
NovaDrive676,Controls,17826278,9618689
OrbitalTech677,Materials,12846983,10573151
StratoLift678,Propulsion,4448515,18501698
QuantumFlow679,Propulsion,6523219,2288642
HyperEdge680,Propulsion,17410546,16615318
IonCraft681,Propulsion,16789112,13220548
StellarCore682,Avionics,12702197,18459409
ExoLink683,Materials,19395344,8467978
AeroWorks684,Materials,6901661,6179802
AstroSystems685,Mechanics,15752892,12947405
CelestDynamics686,Acoustics,11030638,9298641
SkyLabs687,Mechanics,1848820,16315998
NovaDrive688,Materials,9372785,12058595
OrbitalTech689,Propulsion,9779226,1263147
StratoLift690,Avionics,19672222,4934174
QuantumFlow691,Avionics,17777816,3887986
HyperEdge692,Avionics,2836086,5995445
IonCraft693,Propulsion,2522474,14013130
StellarCore694,Materials,10217007,11664075
ExoLink695,Mechanics,13148995,9818860
AeroWorks696,Acoustics,10469804,9667795
AstroSystems697,Avionics,7666629,3834797
CelestDynamics698,Avionics,13740653,9566393
SkyLabs699,Propulsion,17820882,7965446
NovaDrive700,Acoustics,6497143,10870272
OrbitalTech701,Controls,19618379,19055803
StratoLift702,Materials,12087283,5298963
QuantumFlow703,Mechanics,4000397,8962634
HyperEdge704,Materials,13189938,18440304
IonCraft705,Avionics,15621395,1151037
StellarCore706,Mechanics,2189412,6960453
ExoLink707,Mechanics,19497076,19508717
AeroWorks708,Mechanics,15190414,17137248
AstroSystems709,Mechanics,6779107,8871734
CelestDynamics710,Avionics,1948849,18227782
SkyLabs711,Controls,14057557,13110409
NovaDrive712,Mechanics,4214106,4695433
OrbitalTech713,Acoustics,3556736,9457873
StratoLift714,Mechanics,12643173,5240162
QuantumFlow715,Acoustics,7044354,10037238
HyperEdge716,Mechanics,10705228,11546664
IonCraft717,Acoustics,4935440,2440565
StellarCore718,Acoustics,4159571,12620193
ExoLink719,Controls,11603120,11575574
AeroWorks720,Mechanics,8045471,18215504
AstroSystems721,Acoustics,14186244,2657744
CelestDynamics722,Acoustics,5018833,11051429
SkyLabs723,Controls,13043726,9773888
NovaDrive724,Avionics,9156217,18725366
OrbitalTech725,Avionics,18181452,16058466
StratoLift726,Acoustics,19516657,19018007
QuantumFlow727,Propulsion,16129469,9222168
HyperEdge728,Avionics,16629135,12301943
IonCraft729,Avionics,15624125,14508087
StellarCore730,Controls,10279685,1444002
ExoLink731,Propulsion,16660247,18191756
AeroWorks732,Controls,4508564,7770924
AstroSystems733,Materials,17241173,10821839
CelestDynamics734,Controls,5934763,2968012
SkyLabs735,Propulsion,17631435,18838164
NovaDrive736,Controls,3054433,13441143
OrbitalTech737,Controls,9147131,14285763
StratoLift738,Materials,5409599,9822331
QuantumFlow739,Acoustics,4863477,14112794
HyperEdge740,Controls,5795556,4658131
IonCraft741,Controls,13658413,7355598
StellarCore742,Acoustics,1015137,7081210
ExoLink743,Controls,8913949,17862545
AeroWorks744,Controls,13837027,19596404
AstroSystems745,Propulsion,19190011,13349443
CelestDynamics746,Acoustics,6675364,14766676
SkyLabs747,Acoustics,9477935,19792890
NovaDrive748,Avionics,12106169,10318941
OrbitalTech749,Propulsion,4746594,14644537
StratoLift750,Propulsion,18876742,18175029
QuantumFlow751,Avionics,18928339,13951488
HyperEdge752,Propulsion,15793233,8212798
IonCraft753,Materials,15141654,10170439
StellarCore754,Acoustics,2259932,15225764
ExoLink755,Materials,4616840,9494308
AeroWorks756,Avionics,1545111,15694585
AstroSystems757,Materials,1517045,2809371
CelestDynamics758,Controls,2941363,7764522
SkyLabs759,Acoustics,13455204,19864771
NovaDrive760,Propulsion,18267492,17248491
OrbitalTech761,Avionics,11199871,18962294
StratoLift762,Controls,13420741,14412888
QuantumFlow763,Avionics,16553602,13590303
HyperEdge764,Controls,4430677,19255136
IonCraft765,Acoustics,10377250,9770740
StellarCore766,Propulsion,19954903,15939824
ExoLink767,Controls,19134329,1729225
AeroWorks768,Propulsion,11095444,8774219
AstroSystems769,Controls,3353157,6847787
CelestDynamics770,Acoustics,13774171,11832804
SkyLabs771,Acoustics,17601223,10799899
NovaDrive772,Avionics,15381133,7046300
OrbitalTech773,Acoustics,13840066,8204195
StratoLift774,Avionics,7315162,6759778
QuantumFlow775,Propulsion,9182142,2252352
HyperEdge776,Mechanics,8140236,2801255
IonCraft777,Avionics,9204248,19836742
StellarCore778,Materials,1903671,2305920
ExoLink779,Propulsion,7759171,8866386
AeroWorks780,Mechanics,1833018,2536844
AstroSystems781,Acoustics,15706495,3477222
CelestDynamics782,Controls,14042432,17560681
SkyLabs783,Propulsion,12255714,12046034
NovaDrive784,Acoustics,12002723,11059821
OrbitalTech785,Mechanics,18756681,1144281
StratoLift786,Controls,11793849,13864970
QuantumFlow787,Controls,9017623,18836731
HyperEdge788,Acoustics,16390890,9241810
IonCraft789,Acoustics,5508273,4884672
StellarCore790,Acoustics,18748724,8523592
ExoLink791,Propulsion,7269915,1967691
AeroWorks792,Controls,17908861,7588728
AstroSystems793,Mechanics,3056866,8036748
CelestDynamics794,Propulsion,13317139,13888806
SkyLabs795,Propulsion,4584023,8735140
NovaDrive796,Acoustics,16736285,1434226
OrbitalTech797,Acoustics,18282661,12755659
StratoLift798,Controls,9213306,8580123
QuantumFlow799,Materials,11677270,1537242
HyperEdge800,Controls,2113283,18063411
IonCraft801,Avionics,5752325,13294501
StellarCore802,Avionics,13744618,15411406
ExoLink803,Acoustics,12716744,15960886
AeroWorks804,Avionics,9702589,18518325
AstroSystems805,Materials,13343302,11975284
CelestDynamics806,Controls,7289078,12742309
SkyLabs807,Controls,5595829,11250673
NovaDrive808,Propulsion,16122041,16316983
OrbitalTech809,Controls,10741251,6434093
StratoLift810,Controls,17510185,6111417
QuantumFlow811,Materials,10560013,19315013
HyperEdge812,Materials,6255952,8752576
IonCraft813,Controls,7414090,9025854
StellarCore814,Controls,13343498,19479783
ExoLink815,Mechanics,13522680,18322350
AeroWorks816,Propulsion,17624091,15086485
AstroSystems817,Avionics,15854006,17396026
CelestDynamics818,Controls,5701529,9934986
SkyLabs819,Acoustics,7075313,8298660
NovaDrive820,Propulsion,12490122,7029793
OrbitalTech821,Mechanics,10178974,18660872
StratoLift822,Materials,13382581,18606873
QuantumFlow823,Acoustics,15987975,10150300
HyperEdge824,Mechanics,18830242,13535196
IonCraft825,Controls,12220884,12279328
StellarCore826,Materials,8781053,7816153
ExoLink827,Materials,18048281,13351611
AeroWorks828,Mechanics,12493648,10381665
AstroSystems829,Acoustics,15310779,4569557
CelestDynamics830,Acoustics,16675706,13336118
SkyLabs831,Propulsion,7957685,17133185
NovaDrive832,Avionics,5829047,19687400
OrbitalTech833,Acoustics,18120385,19183227
StratoLift834,Avionics,2131740,12288455
QuantumFlow835,Acoustics,4739811,1781276
HyperEdge836,Mechanics,6755646,11167742
IonCraft837,Controls,19820087,8826256
StellarCore838,Controls,16638182,16492000
ExoLink839,Propulsion,13331489,7573741
AeroWorks840,Mechanics,3723998,1595004
AstroSystems841,Propulsion,10920385,8074110
CelestDynamics842,Mechanics,1770306,18380724
SkyLabs843,Avionics,1600749,4032598
NovaDrive844,Controls,11425824,12689463
OrbitalTech845,Avionics,15881841,13446931
StratoLift846,Acoustics,17596523,14512852
QuantumFlow847,Controls,11552041,13901138
HyperEdge848,Acoustics,19335426,12642870
IonCraft849,Materials,16893995,12233187
StellarCore850,Controls,16503261,13972933
ExoLink851,Propulsion,16370705,10421934
AeroWorks852,Materials,5524604,10739526
AstroSystems853,Controls,10874247,2253320
CelestDynamics854,Materials,8116139,6666978
SkyLabs855,Controls,1315354,14939581
NovaDrive856,Propulsion,7664026,14428932
OrbitalTech857,Acoustics,13203371,14665320
StratoLift858,Avionics,12757755,1490281
QuantumFlow859,Acoustics,7800188,17151063
HyperEdge860,Materials,11530339,17394024
IonCraft861,Avionics,19980225,2501784
StellarCore862,Avionics,6859795,19947657
ExoLink863,Propulsion,17774248,14628878
AeroWorks864,Avionics,3524187,10644361
AstroSystems865,Controls,5146434,14429224
CelestDynamics866,Mechanics,16223403,14677163
SkyLabs867,Avionics,17109346,12608456
NovaDrive868,Avionics,18779006,5993394
OrbitalTech869,Mechanics,7531009,11756430
StratoLift870,Avionics,3265848,6927098
QuantumFlow871,Controls,16994956,16575423
HyperEdge872,Mechanics,2023731,17381315
IonCraft873,Mechanics,13963043,7645448
StellarCore874,Avionics,11637691,13725767
ExoLink875,Mechanics,15961393,10907199
AeroWorks876,Acoustics,1189752,18553140
AstroSystems877,Propulsion,19987153,15065765
CelestDynamics878,Avionics,3745672,13596681
SkyLabs879,Mechanics,6907681,10105841
NovaDrive880,Controls,7485117,16114832
OrbitalTech881,Propulsion,16456003,3055728
StratoLift882,Avionics,15388905,9985355
QuantumFlow883,Mechanics,13605887,1173609
HyperEdge884,Avionics,15092204,9380994
IonCraft885,Propulsion,7098485,11435198
StellarCore886,Avionics,15364505,1334973
ExoLink887,Propulsion,13157291,5074466
AeroWorks888,Mechanics,17839277,1220260
AstroSystems889,Materials,4369622,18477669
CelestDynamics890,Avionics,2987404,14594095
SkyLabs891,Mechanics,12351921,7354497
NovaDrive892,Materials,19158334,7218966
OrbitalTech893,Materials,19000645,15087740
StratoLift894,Controls,9165230,11740623
QuantumFlow895,Avionics,4487060,7771222
HyperEdge896,Controls,10942071,12291458
IonCraft897,Mechanics,19626178,9256137
StellarCore898,Controls,4706171,17319999
ExoLink899,Avionics,8358018,19282438
AeroWorks900,Propulsion,19436053,1286714
AstroSystems901,Materials,14614997,5549329
CelestDynamics902,Materials,8253397,9340897
SkyLabs903,Acoustics,19751626,1019108
NovaDrive904,Controls,18204678,18680306
OrbitalTech905,Materials,19808908,3515224
StratoLift906,Avionics,5250575,4287155
QuantumFlow907,Materials,9625895,8119045
HyperEdge908,Materials,18856006,3778523
IonCraft909,Controls,7056254,8376298
StellarCore910,Propulsion,10501882,17807418
ExoLink911,Mechanics,14323930,2795250
AeroWorks912,Controls,10096616,1189028
AstroSystems913,Mechanics,15043589,2880254
CelestDynamics914,Acoustics,15362220,15738344
SkyLabs915,Avionics,8657757,1340789
NovaDrive916,Avionics,10905121,16303001
OrbitalTech917,Propulsion,10504801,6007845
StratoLift918,Materials,7461228,9391642
QuantumFlow919,Mechanics,14498831,8834841
HyperEdge920,Propulsion,16798912,16820764
IonCraft921,Avionics,12854708,7809910
StellarCore922,Mechanics,14836347,9942074
ExoLink923,Propulsion,1117853,18474123
AeroWorks924,Mechanics,7213823,6685429
AstroSystems925,Propulsion,4122412,9229608
CelestDynamics926,Avionics,16307206,11129652
SkyLabs927,Controls,15477187,9760870
NovaDrive928,Materials,7211704,16989123
OrbitalTech929,Acoustics,10189755,16735416
StratoLift930,Avionics,3777680,10364540
QuantumFlow931,Acoustics,18794971,1559736
HyperEdge932,Materials,17887820,3274724
IonCraft933,Avionics,6202705,5330026
StellarCore934,Propulsion,1783844,9215796
ExoLink935,Acoustics,18259172,16536338
AeroWorks936,Mechanics,2092760,18804092
AstroSystems937,Controls,17444950,17432607
CelestDynamics938,Mechanics,8046559,11293848
SkyLabs939,Mechanics,4683684,7186903
NovaDrive940,Propulsion,14006751,4568035
OrbitalTech941,Avionics,19144846,14686762
StratoLift942,Controls,4657670,16830871
QuantumFlow943,Controls,9421328,1032999
HyperEdge944,Avionics,10228583,18034010
IonCraft945,Mechanics,9328515,13906462
StellarCore946,Controls,2051802,9036452
ExoLink947,Avionics,4800069,8422102
AeroWorks948,Materials,10332854,7192324
AstroSystems949,Avionics,6179966,6504020
CelestDynamics950,Propulsion,13777425,19161809
SkyLabs951,Materials,9173588,4265460
NovaDrive952,Mechanics,11789227,8604936
OrbitalTech953,Acoustics,11412989,9170106
StratoLift954,Propulsion,6043673,19443016
QuantumFlow955,Materials,18422431,1626475
HyperEdge956,Propulsion,17805239,2275444
IonCraft957,Controls,18850121,3500100
StellarCore958,Avionics,8919838,15972516
ExoLink959,Mechanics,15737335,10664652
AeroWorks960,Avionics,14942031,15031743
AstroSystems961,Acoustics,5182577,19227387
CelestDynamics962,Avionics,19591828,3966069
SkyLabs963,Propulsion,15128877,17543339
NovaDrive964,Avionics,9005887,17690596
OrbitalTech965,Materials,10090797,15610828
StratoLift966,Propulsion,13119129,15031792
QuantumFlow967,Mechanics,18983943,10374764
HyperEdge968,Mechanics,10622634,19373692
IonCraft969,Materials,19618648,15168437
StellarCore970,Acoustics,10395265,17869407
ExoLink971,Avionics,12659136,4073105
AeroWorks972,Controls,9315563,16114605
AstroSystems973,Propulsion,14545333,1222583
CelestDynamics974,Materials,12757741,7317604
SkyLabs975,Controls,9452786,16321315
NovaDrive976,Avionics,13428333,3109843
OrbitalTech977,Avionics,5377997,17207182
StratoLift978,Controls,2273492,11237400
QuantumFlow979,Propulsion,18766002,11809371
HyperEdge980,Mechanics,19740217,12958763
IonCraft981,Acoustics,5757740,16122690
StellarCore982,Propulsion,16308088,9992461
ExoLink983,Controls,7253062,16465290
AeroWorks984,Controls,10090290,1876973
AstroSystems985,Avionics,18304481,15675826
CelestDynamics986,Propulsion,12796948,8213028
SkyLabs987,Propulsion,12882738,15809816
NovaDrive988,Avionics,5918084,11813651
OrbitalTech989,Acoustics,1013051,13344436
StratoLift990,Materials,16979708,5784633
QuantumFlow991,Avionics,4007640,13862213
HyperEdge992,Avionics,15814656,16615402
IonCraft993,Controls,4585212,17834515
StellarCore994,Mechanics,8302952,8273758
ExoLink995,Controls,8489632,12205348
AeroWorks996,Avionics,3728441,13120741
AstroSystems997,Propulsion,18975063,2569271
CelestDynamics998,Materials,16423450,13262307
SkyLabs999,Materials,17585614,13369819
PolarVortex,Controls,5084835,17741716
